Price;Volume;%Volume;Count;%Count;;;;;;;;;;;
200.00 - 220.00;1.145.749.650;0,28%;5;0,50%;;;;;;;;;;;
180.00 - 200.00;11.093.234.997;2,74%;63;6,28%;;;;;;;;;;;
160.00 - 180.00;10.010.086.142;2,47%;56;5,58%;;;;;;;;;;;
140.00 - 160.00;11.205.031.329;2,77%;55;5,48%;;;;;;;;;;;
120.00 - 140.00;34.765.169.926;8,58%;129;12,86%;;;;;;;;;;;
100.00 - 120.00;30.433.720.202;7,51%;89;8,87%;;;;;;;;;;;
80.00 - 100.00;28.872.787.792;7,13%;61;6,08%;;;;;;;;;;;
60.00 - 80.00;15.708.264.610;3,88%;29;2,89%;;;;;;;;;;;
40.00 - 60.00;72.490.003.220;17,90%;155;15,45%;;;;;;;;;;;
20.00 - 40.00;85.314.380.340;21,06%;168;16,75%;;;;;;;;;;;
0.00 - 20.00;104.011.433.650;25,68%;193;19,24%;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
NVDA.O Statistics     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Price;;;Volume;;;;;Up/Down;;Price Change (Close-Close);;;Turnover;;
High;212,19;29-Oct-2025;Max;1.543.910.670;25-May-2023;Advancing;215.989.990.945;Up;537;Up;+24,37%;25-May-2023;Max;104.021.314.941,00;08-Mar-2024
Low;10,81;13-Oct-2022;Min;65.528.545;24-Dec-2025;Declining;188.278.174.673;Down;464;Down;-16,97%;27-Jan-2025;Min;2.745.657.486,00;25-Nov-2022
Avg (Close);79,21;;Avg;403.838.347;;Total;405.049.861.858;Unch;1;Period;+519,17%;03-Jan-2022 - 31-Dec-2025;Avg;24.433.208.002,04;
20-Nov-2025;180,64;-5,88;-3,15%;195,95;179,85;196,00;343.504.849;64.351.425.129,00;1.749.139.066.143,28;;;;;;
19-Nov-2025;186,52;+5,16;+2,85%;184,79;182,83;187,86;247.246.436;46.299.990.404,00;1.813.490.491.272,28;;;;;;
18-Nov-2025;181,36;-5,24;-2,81%;183,38;179,65;184,80;213.598.877;38.956.741.331,00;1.767.190.500.868,28;;;;;;
17-Nov-2025;186,60;-3,57;-1,88%;185,97;184,32;189,00;173.628.858;32.409.802.954,00;1.806.147.242.199,28;;;;;;
14-Nov-2025;190,17;+3,31;+1,77%;182,86;180,58;191,01;186.591.856;35.070.970.384,00;1.838.557.045.153,28;;;;;;
13-Nov-2025;186,86;-6,94;-3,58%;191,05;183,85;191,44;207.423.074;38.731.339.595,00;1.803.486.074.769,28;;;;;;
12-Nov-2025;193,80;+0,64;+0,33%;195,72;191,13;195,89;154.935.263;29.872.993.147,00;1.842.217.414.364,28;;;;;;
11-Nov-2025;193,16;-5,89;-2,96%;195,16;191,30;195,42;176.483.327;34.132.742.222,00;1.812.344.421.217,28;;;;;;
10-Nov-2025;199,05;+10,90;+5,79%;195,11;193,79;199,94;198.897.134;39.126.216.035,00;1.846.477.163.439,28;;;;;;
07-Nov-2025;188,15;+0,07;+0,04%;184,90;178,91;188,32;264.942.255;48.737.152.026,00;1.807.350.947.404,28;;;;;;
06-Nov-2025;188,08;-7,13;-3,65%;196,42;186,38;197,62;223.029.778;42.465.767.945,00;1.758.613.795.378,28;;;;;;
05-Nov-2025;195,21;-3,48;-1,75%;198,77;194,65;202,92;171.350.332;34.120.584.820,00;1.801.079.563.323,28;;;;;;
04-Nov-2025;198,69;-8,19;-3,96%;203,00;197,93;203,97;188.919.320;37.901.976.083,00;1.835.200.148.143,28;;;;;;
03-Nov-2025;206,88;+4,39;+2,17%;208,08;205,56;211,34;180.267.285;37.549.986.769,00;1.873.102.124.226,28;;;;;;
31-Oct-2025;202,49;-0,40;-0,20%;206,45;202,07;207,97;179.802.178;36.741.964.597,00;1.835.552.137.457,28;;;;;;
30-Oct-2025;202,89;-4,15;-2,00%;205,15;201,41;206,16;178.864.443;36.360.424.627,00;1.872.294.102.054,28;;;;;;
29-Oct-2025;207,04;+6,01;+2,99%;207,98;204,78;212,19;308.829.564;64.301.477.065,00;1.908.654.526.681,28;;;;;;
28-Oct-2025;201,03;+9,54;+4,98%;193,05;191,91;203,15;297.986.180;58.857.621.073,00;1.844.353.049.616,28;;;;;;
27-Oct-2025;191,49;+5,23;+2,81%;189,99;188,43;192,00;153.452.704;29.277.694.987,00;1.785.495.428.543,28;;;;;;
24-Oct-2025;186,26;+4,10;+2,25%;183,84;183,50;187,47;131.296.677;24.361.348.165,00;1.756.217.733.556,28;;;;;;
23-Oct-2025;182,16;+1,88;+1,04%;180,42;179,79;183,03;111.363.718;20.245.313.018,00;1.731.856.385.391,28;;;;;;
22-Oct-2025;180,28;-0,88;-0,49%;181,14;176,76;183,44;162.249.552;29.161.794.489,00;1.711.611.072.373,28;;;;;;
